distance,timestamp,waterLevel
63.99,84109,0.0
63.99,84109,0.0
63.99,84109,0.0
63.99,84109,0.0
63.99,84109,0.0
63.99,84109,0.0
63.99,84109,0.0
63.99,84109,0.0
63.99,84109,0.0
63.99,84109,0.0
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
13.45,2300360,36.55
